main value [Voltage (V)],secondary value [Voltage (V)],main value [Current (A)],secondary value [Current (A)],main value [Motor Speed (RPM)],secondary value [Motor Speed (RPM)],main value [Temperature],secondary value [Temperature],main value [Vibration (g)],secondary value [Vibration (g)],main value [Ambient Temp],secondary value [Ambient Temp ],main value [Humidity (%),secondary value [Humidity (%)
18,31,45,275,39,283,7,823,22,686,2,867,5,152
8,31,434,192,10,981,8,160,14,44,6,571,3,260
2,538,4,12,38,252,5,894,16,390,25,396,8,159
12,771,27,35,19,133,8,63,11,614,8,591,4,924
29,734,3,147,6,982,9,40,7,590,7,515,4,337
6,142,12,974,22,274,9,789,3,426,5,317,18,459
40,582,3,19,6,544,6,247,24,133,7,602,42,634
5,878,4,834,6,850,7,13,25,269,7,12,21,791
425,641,4,650,15,980,6,273,2,278,4,374,9,984
5,766,41,516,7,840,6,672,17,266,15,19,7,461
46,241,4,560,632,437,45,247,19,611,3,134,43,981
3,650,17,224,7,539,9,950,949,360,23,272,5,748
5,768,2,819,7,625,8,440,22,860,6,435,36,251
4,709,534,986,6,226,49,402,19,558,8,242,45,191
2,800,13,164,6,922,5,952,2,520,9,642,4,754
5,887,1,619,7,563,8,588,2,331,7,326,8,281
39,167,3,710,23,414,9,978,8,384,16,492,1,413
12,234,29,769,6,651,8,415,25,953,7,84,26,891
33,621,5,82,349,113,9,252,14,771,49,610,12,240
7,494,1,307,6,874,5,259,59,521,6,492,14,699
6,344,3,168,5,152,9,679,2,127,8,547,7,384
16,147,31,262,23,565,5,334,14,308,3,341,6,79
40,990,39,126,77,680,9,780,16,100,3,600,30,591
6,658,14,81,686,231,8,471,4,210,41,423,10,786
46,11,2,682,34,64,5,756,22,33,6,74,15,475
7,12,4,856,1,582,9,71,22,60,1,230,36,282
6,896,2,729,3,680,8,28,286,501,22,644,43,694
5,980,17,406,829,972,9,446,2,33,3,446,49,964
3,368,2,928,48,187,6,457,5,737,7,256,5,857
3,291,3,998,20,209,7,716,9,558,8,947,4,315
7,107,285,693,6,881,5,901,174,468,5,944,4,97
7,176,538,944,6,736,9,748,8,128,46,476,17,490
31,92,38,531,6,721,4,496,21,791,2,768,6,950
25,319,5,455,6,479,9,882,10,658,3,794,1,452
35,179,21,781,3,132,5,621,1,380,2,624,3,870
7,520,4,348,7,702,9,783,7,987,5,289,9,944
404,803,13,300,4,800,6,983,8,455,7,627,7,988
41,942,3,335,25,409,8,240,20,348,1,370,8,164
5,592,2,839,7,228,4,591,21,62,8,877,33,972
4,563,5,65,6,709,8,763,21,466,1,742,9,998
28,654,5,451,5,835,8,169,9,739,8,994,8,957
4,561,40,732,8,353,7,749,18,446,2,974,7,563
32,795,14,297,4,233,5,4,20,990,9,258,4,256
543,43,31,677,49,36,9,772,57,459,8,390,9,683
3,606,358,368,7,312,5,431,1,373,7,33,7,107
