main value [Voltage (V)],secondary value [Voltage (V)],main value [Current (A)],secondary value [Current (A)],main value [Motor Speed (RPM)],secondary value [Motor Speed (RPM)],main value [Temperature],secondary value [Temperature],main value [Vibration (g)],secondary value [Vibration (g)],main value [Ambient Temp],secondary value [Ambient Temp ],main value [Humidity (%),secondary value [Humidity (%)
6,296,1,809,3,371,5,386,24,183,15,355,6,496
5,641,3,165,6,845,5,611,27,79,22,946,2,78
5,723,19,245,6,192,5,513,14,573,4,571,6,32
6,365,10,633,25,93,12,726,3,537,3,584,9,914
6,713,5,834,5,145,23,610,4,188,8,890,5,649
58,507,5,488,4,256,45,755,18,80,47,819,12,275
536,720,7,309,6,932,16,75,15,844,12,126,9,987
5,312,41,325,3,600,18,127,32,801,8,679,35,864
6,465,9,369,42,144,17,127,1,606,6,265,5,967
684,420,20,845,23,903,2,565,20,484,18,733,5,104
6,188,3,235,1,608,25,453,1,811,3,598,55,563
543,233,75,926,3,510,5,240,18,795,5,252,8,459
5,679,1,276,24,299,47,495,3,136,6,395,4,324
6,179,23,535,8,276,25,436,3,997,3,30,8,683
5,895,17,458,5,304,31,541,40,141,5,107,6,920
5,688,2,724,5,733,6,740,13,963,6,326,3,565
5,963,5,605,39,922,6,424,3,196,16,120,8,874
5,651,12,967,3,985,5,711,34,661,11,873,10,349
5,819,23,268,28,215,5,636,19,488,6,793,29,826
5,647,16,123,9,332,25,968,18,784,9,450,5,890
6,94,17,235,10,584,9,748,2,992,31,885,5,397
6,481,2,54,5,869,44,97,4,77,8,994,3,247
5,599,12,229,2,813,6,760,1,836,20,421,36,617
5,866,1,896,4,624,3,456,3,814,4,719,7,866
5,387,3,210,15,517,24,226,18,638,47,825,7,170
5,692,13,978,6,254,3,36,16,545,7,181,5,209
6,531,15,294,13,925,7,455,12,687,6,745,4,887
6,471,8,313,3,30,4,833,2,592,28,911,6,634
5,98,32,952,11,569,3,362,2,990,2,657,9,502
695,526,280,170,7,94,3,655,27,848,6,628,35,723
5,922,8,506,5,760,24,110,21,813,4,837,7,267
6,573,2,95,49,341,24,459,225,60,7,240,8,402
6,876,16,909,7,242,13,256,1,368,6,587,6,33
5,456,6,434,5,91,5,581,24,495,8,340,7,615
5,981,10,215,6,678,4,691,42,53,7,396,9,793
6,610,22,897,34,89,4,831,18,217,21,749,39,632
5,448,4,855,588,343,1,868,13,413,7,778,6,74
5,129,30,457,3,277,9,265,18,362,4,236,5,717
6,124,41,373,46,604,31,750,36,480,24,138,9,640
6,455,24,256,6,772,5,214,2,534,9,78,9,858
6,222,11,48,19,669,40,737,27,571,13,747,3,501
5,828,7,82,5,143,3,35,2,120,4,827,12,852
5,83,2,659,26,546,49,171,39,951,31,683,22,118
5,440,29,394,6,22,5,457,3,22,6,369,1,644
5,751,2,450,2,637,4,415,19,363,21,635,7,158
5,458,21,492,25,729,33,591,10,69,48,458,9,738
5,663,2,575,5,803,3,794,8,28,8,575,5,711
646,658,3,262,4,400,2,800,2,563,6,514,26,276
6,328,22,302,6,16,11,198,4,442,9,45,12,487
5,18,18,928,2,306,3,610,40,968,5,19,9,731
5,359,8,271,617,35,34,666,12,150,9,476,2,202
5,845,22,36,43,432,31,844,26,918,8,591,5,310
6,295,19,543,5,435,27,542,2,374,5,420,2,722
6,664,21,240,34,235,4,528,37,502,20,941,5,742
6,846,1,208,36,480,13,446,16,18,5,960,5,432
5,220,6,699,4,679,39,705,43,54,4,218,3,482
5,350,18,800,2,702,34,63,15,586,8,274,9,744
6,462,823,453,38,283,16,156,3,929,8,84,5,208
5,379,11,146,605,357,2,886,18,108,18,812,6,151
6,377,8,850,3,80,28,854,27,571,8,617,8,60
6,443,30,919,27,183,31,832,4,134,6,327,1,561
517,239,2,772,6,746,259,673,1,388,6,718,9,23
5,687,18,18,5,576,27,143,25,673,3,997,25,641
6,196,28,761,216,936,157,654,3,764,3,463,5,856
6,733,2,847,4,983,2,399,22,169,4,698,2,798
5,784,30,308,2,703,17,726,3,357,2,846,9,471
5,809,26,513,6,277,3,450,3,836,3,892,9,346
5,319,21,899,6,84,3,3,43,217,21,696,8,37
6,421,13,799,19,217,2,878,3,836,5,634,3,337
671,14,32,355,3,339,3,457,30,106,3,583,6,509
5,644,5,543,13,205,3,435,21,164,19,324,9,251
6,875,20,553,11,355,50,34,17,897,5,319,2,138
5,221,571,446,2,239,4,647,30,844,8,272,8,763
696,406,26,551,7,265,4,330,1,422,7,997,18,368
5,993,23,655,20,519,1,528,4,512,7,495,6,372
6,401,10,374,3,577,2,485,24,174,7,508,9,257
5,369,12,281,22,921,5,630,3,234,5,102,9,65
5,99,23,763,3,539,2,852,3,86,5,446,9,723
6,384,29,942,33,549,4,436,54,324,2,935,20,177
5,885,2,929,12,804,4,47,40,828,3,308,14,963
6,590,5,45,6,419,1,369,23,475,9,956,9,431
6,485,23,605,4,388,5,41,3,768,4,722,7,204
564,324,31,370,11,83,5,467,3,457,8,831,3,230
6,769,579,403,1,319,17,892,5,752,3,753,5,278
5,220,22,563,3,558,34,774,20,999,10,199,8,647
5,278,10,958,5,981,54,123,13,548,6,733,6,618
6,41,2,842,5,259,27,243,32,5,1,877,9,503
