main value [Voltage (V)],secondary value [Voltage (V)],main value [Current (A)],secondary value [Current (A)],main value [Motor Speed (RPM)],secondary value [Motor Speed (RPM)],main value [Temperature],secondary value [Temperature],main value [Vibration (g)],secondary value [Vibration (g)],main value [Ambient Temp],secondary value [Ambient Temp ],main value [Humidity (%),secondary value [Humidity (%)
9,389,19,953,5,444,23,950,3,12,5,824,3,973
9,543,12,117,9,627,3,779,7,61,7,767,5,25
8,104,382,501,5,572,4,869,7,883,3,263,16,849
8,382,3,78,2,354,4,261,28,754,9,240,6,262
8,130,22,444,5,225,9,73,33,852,2,999,55,926
9,540,9,395,8,968,97,802,10,597,29,839,9,695
9,524,9,999,6,586,21,544,2,899,4,123,3,645
850,882,7,381,8,504,34,914,30,615,7,137,7,302
9,236,21,163,5,113,4,799,2,225,4,543,12,716
8,957,15,733,715,346,2,128,3,37,8,404,7,980
9,121,839,226,4,386,2,815,688,864,12,321,3,427
7,641,62,957,8,862,5,431,19,811,5,958,2,696
8,860,4,517,9,574,47,752,2,830,5,104,35,715
8,260,46,215,8,6,33,63,2,863,5,523,7,3
969,28,19,38,757,231,243,773,16,221,6,205,11,985
9,371,6,270,5,59,7,95,1,10,23,722,13,261
9,322,9,507,7,803,12,444,22,579,7,741,6,127
8,163,34,677,7,702,1,697,10,245,21,120,5,92
8,982,7,921,992,251,26,405,10,138,4,96,48,460
8,594,289,226,23,796,26,397,2,653,6,276,4,357
8,257,8,470,5,271,3,546,6,370,1,677,1,346
9,816,4,262,20,352,46,709,5,796,8,16,42,573
9,93,9,55,9,982,21,822,14,575,21,963,31,478
9,590,574,113,7,314,39,148,4,804,6,398,8,548
8,335,8,822,18,679,2,40,29,688,24,964,9,986
8,171,2,504,187,26,26,330,3,371,7,101,4,81
8,443,902,623,45,647,2,919,2,391,21,739,44,599
8,462,9,708,30,256,2,954,1,387,9,626,9,875
9,803,9,59,4,592,5,57,10,688,7,767,5,792
9,967,4,352,6,306,30,404,21,632,9,530,8,424
9,192,7,16,5,375,25,317,2,640,25,941,6,501
9,715,6,780,8,608,25,411,10,652,9,784,33,456
9,402,28,686,6,660,3,222,14,986,5,628,7,678
9,200,3,929,23,717,40,338,303,993,5,772,1,773
9,510,2,790,9,733,22,427,14,693,2,593,11,501
8,758,6,991,8,169,38,776,18,457,4,117,9,356
8,811,3,904,2,358,46,824,1,44,48,715,38,233
8,494,914,213,7,183,4,239,25,688,8,93,4,313
8,851,32,869,13,489,30,706,26,987,49,950,6,981
9,225,3,742,9,259,48,622,21,531,34,60,16,388
9,894,5,920,1,130,5,162,207,635,9,446,6,470
9,154,441,251,10,140,18,511,1,687,5,312,20,598
8,697,18,225,8,923,4,80,4,731,7,286,9,578
755,381,4,280,22,938,4,43,34,910,15,228,9,985
8,347,7,333,4,313,30,271,23,613,5,206,6,715
7,890,2,380,7,252,43,278,4,673,10,341,46,717
9,59,3,366,2,719,48,667,2,615,36,347,18,76
9,236,5,822,7,262,43,160,1,728,29,879,8,44
7,575,9,174,9,870,42,740,24,805,7,295,29,540
8,948,9,179,8,873,4,535,23,575,8,306,1,925
9,48,8,556,1,586,3,907,3,499,3,324,13,219
8,926,39,591,43,944,44,854,3,23,10,443,31,302
9,980,5,646,4,380,1,314,656,235,2,606,4,809
8,916,31,617,5,975,44,546,12,632,22,724,6,729
9,124,3,141,5,723,13,740,28,539,32,148,2,623
9,774,2,274,9,444,2,778,3,23,11,141,3,749
8,342,47,822,2,638,47,493,26,799,2,147,3,415
9,968,21,240,7,572,26,506,3,523,39,6,1,433
9,692,8,536,7,667,19,936,14,885,11,60,7,66
8,881,7,557,42,838,13,104,178,92,30,469,9,611
9,983,6,497,9,244,3,65,15,578,2,400,34,847
8,183,46,881,8,956,3,939,6,272,18,39,1,840
8,482,5,117,22,336,2,874,11,417,7,690,2,745
8,880,5,711,8,685,4,779,1,804,9,912,5,516
778,672,8,336,9,722,5,517,10,394,7,804,3,158
8,356,6,972,8,966,35,193,3,484,3,175,3,693
9,974,34,991,5,582,4,142,16,476,4,844,12,15
9,285,17,701,7,357,36,659,3,561,8,642,1,374
7,524,33,931,5,472,5,177,2,863,5,880,9,967
9,347,7,727,5,891,1,961,5,289,17,829,15,941
7,831,934,436,3,577,50,579,21,220,15,64,6,897
9,773,26,308,14,951,31,203,1,883,3,556,10,660
8,228,9,451,6,80,10,73,7,257,5,72,8,639
9,15,5,944,37,346,31,127,23,693,4,652,1,944
9,521,44,878,38,835,46,136,29,553,5,570,3,389
8,768,9,709,6,401,33,376,15,725,6,949,35,959
