,Singular Vector 1,Singular Vector 2,Singular Vector 3,Singular Vector 4,Singular Vector 5,Singular Vector 6,Singular Vector 7,Singular Vector 8,Singular Vector 9,Singular Vector 10,Singular Vector 11,Singular Vector 12,Singular Vector 13,Singular Vector 14
main value [Voltage (V)],-0.015000930646433774,-0.1820563265794374,-0.18300728953808412,-0.5335811460062881,0.05250112715493116,0.4033866934812721,0.2689282924246137,-0.08734070763153733,0.2560186937765011,-0.0707895616990089,-0.4740778095127254,0.15104433476051587,0.2847463494688585,-0.06164870191949512
secondary value [Voltage (V)],0.014945839301984704,-0.03776587034663237,0.5172912921399367,0.10384224098347561,0.1496987530924795,0.11044713317580658,-0.32658671940562023,-0.4772284768753671,-0.36899556354054436,-0.09477551622923948,-0.2725138733595819,-0.03173895696838944,0.3145158674353393,-0.17785148531999379
main value [Current (A)],0.0011787862147658121,0.5134916502353789,0.14980517632246837,-0.30779966842557627,0.20154070154266804,0.23185324305989757,0.2715359930498323,-0.168419295914842,-0.21420451564132945,0.11325086352564083,0.2179094000711027,0.20542643015700796,-0.41923352707143613,-0.3138800180553035
secondary value [Current (A)],0.3587176540037072,-0.12494807942609579,-0.1390273578214262,-0.3785867513902104,0.22868965531012264,-0.3148869163749105,0.07896285433896594,0.18791811645406828,-0.3899732900128337,0.2478758209518894,0.24273307106250552,-0.18748766657147178,0.4083165514635441,-0.1604276894956233
main value [Motor Speed (RPM)],-0.3776849735795409,-0.13417912822450181,-0.21040202287598667,-0.34793111774485097,-0.3480230117177151,-0.20521878726462833,-0.33849443824354075,-0.002617006403000971,-0.1578069910961003,-0.2022316128412956,-0.08314312028521462,-0.2076460105979299,-0.25612080437859475,-0.4634400342063209
secondary value [Motor Speed (RPM)],-0.1184903042408051,0.04799124956554456,-0.38637535853406124,0.2881714530551399,0.42173897313437675,-0.07715927894346507,0.28884609470433437,-0.3796823869684283,0.1313892313518564,-0.2972923517202808,0.07222351880090105,-0.418961368621351,0.06049806076787935,-0.22331442768433118
main value [Temperature],0.35550759873739324,0.3260264359905655,-0.35443890347178625,0.05146430382274242,0.18142636347343036,-0.01514316281099696,-0.29030177492761366,0.08026462083677408,-0.18180257297803545,0.11284744245454398,-0.5836503795198382,-0.1529095043805926,-0.2814884883682667,0.16165289000919858
secondary value [Temperature],-0.20604476910467545,0.16243394984936968,0.09725502474644881,-0.39474573582354483,0.4473424342772112,-0.292569020354539,-0.28998231275681274,0.017667258336284457,0.14195848990155746,-0.40839190441744133,0.11681899814925446,0.1360356791615828,0.01121758463783018,0.4201784042272417
main value [Vibration (g)],-0.3493920076608662,-0.3358184822842633,0.11789873719561428,-0.08134119723244973,0.30697385164360996,0.41345891179963645,-0.03093069108077562,0.16057026778524322,-0.17865775178036503,0.28363579092521085,0.06173682897923935,-0.459008967837211,-0.23956906585989846,0.26163347141239346
secondary value [Vibration (g)],-0.2284397581053716,0.4547158288581816,-0.13160618114597206,-0.17023729656583544,-0.3670920318349163,0.012650344226881724,-0.056896079847992706,-0.3693199056711839,0.05593523640125125,0.3420502043246602,0.10988470597431124,-0.2918127789645285,0.3087887632512701,0.3278566460174353
main value [Ambient Temp],0.1647321264899808,-0.17422341083502263,-0.31190715265264124,0.01058828492141288,0.17884705177354654,0.26642968337104733,-0.5645198143059178,-0.24936018268978288,0.286439278513942,0.2668024375667407,0.34791156909218957,0.24321805553562476,-0.014063566124771387,-0.16628563706851196
secondary value [Ambient Temp ],-0.34779481889559627,0.3670101265277221,0.10212238002562729,0.15941015439253153,0.2288506841115145,0.029309996547798697,-0.1599480141849015,0.49625420201395487,0.25141803500733295,0.2105520932537067,-0.13471431759491065,-0.019646511551465504,0.32908416764388865,-0.38606334570929246
main value [Humidity (%),-0.30742509759443765,0.06013212062394403,-0.4292802013460214,0.19593570277508923,-0.014147818342336312,0.26382800952868,-0.0054363508485733535,0.12280995700049457,-0.568189551259406,-0.1992765465763694,0.096482486862082,0.38563868191187395,0.2328075253742313,0.13967287646311982
secondary value [Humidity (%),-0.3584386415471129,-0.21201809407644334,-0.07273655296448263,0.06600098181759857,0.19066508697775994,-0.47509923616349053,0.16182377303671278,-0.2536043689729037,-0.042640337989040156,0.5002648572878929,-0.2525346466578038,0.3663222025912151,-0.1160314151875344,0.028924801974784652
